Analysis_Type,Point_Estimate,Benchmark,Test_Statistic,P_value,CI_Lower,CI_Upper
Proportion (Z),0.297783289412494,0.285,3.17530464468456,0.0014967926825273,0.289892775066294,0.305673803758695
Mean (T),64.8284867554512,65,-0.708114024004908,0.478887244420542,64.3537167155642,65.3032567953383
